age,male,friend_cnt,avg_friend_age,avg_friend_male,friend_country_cnt,subscriber_friend_cnt,songsListened,lovedTracks,posts,playlists,shouts,binary,tenure,country,text
27,1,4,44.5,1,3,0,1775,125,0,0,4,0,47,1,wischmopp84
26,1,5,26,1,3,0,7825,17,0,0,4,0,25,1,null7g
24,1,5,40,1,4,2,5912,0,0,0,2,0,34,0,agro13
33,0,3,31.66666667,0.666666667,1,0,2961,83,0,1,4,0,17,0,redoszka22
38,0,2,36.5,1,2,0,630,163,0,19,8,0,23,0,waits60
19,0,3,32.66666667,1,2,1,1793,26,0,3,5,0,34,1,tina847
21,0,11,27.5,0.833333333,2,0,1179,81,0,2,2,0,32,1,lady_sakara
30,1,1,24,0,1,0,10141,26,0,1,1,0,42,0,fireman113
48,0,6,26,0.666666667,2,0,391,12,0,1,1,0,14,1,higgs2
38,1,4,29.33333333,0.25,2,0,5269,446,5,4,5,0,34,0,obiwankenobi73
38,1,2,36,0.5,1,2,146,0,0,0,0,0,21,0,up-nl
31,0,5,33.25,0.4,4,0,160,109,0,1,4,0,28,1,sweetcherrybaby
16,1,10,25.5,0.777777778,2,0,12269,204,0,0,2,0,8,0,positiveman27
28,1,12,30.5,0.666666667,7,1,136079,133,7,1,11,0,27,0,hevinalle
18,0,1,24,1,1,0,4706,10,0,0,2,0,14,0,massiz-xd
27,1,3,34,1,1,0,269,122,0,1,3,0,22,1,djtwoninefour
18,1,9,23.14285714,0.571428571,1,0,18386,49,0,0,1,0,15,0,wesleyhf
21,1,7,24.33333333,0.75,2,0,44675,156,0,1,2,0,29,0,bzuuuk
48,0,8,35,0.75,3,1,225,11,0,1,25,0,4,1,hairmetalfan63
43,1,7,30.4,0.857142857,2,1,84812,54,0,2,0,0,39,0,rickpocos
28,1,10,30.57142857,0.5,2,0,8764,11,0,0,5,0,60,0,vanalli
22,1,2,29,0.5,1,0,40664,5,0,0,0,1,43,0,kressh
19,1,6,24.5,0.5,1,0,13940,123,0,0,1,0,17,1,threetimesafool
25,1,14,32.2,0.9,4,0,20856,72,0,1,6,0,55,0,cronstro
38,1,6,30.33333333,0.333333333,1,0,35340,188,0,1,0,0,70,0,falkor73
25,0,7,29.33333333,1,1,0,4674,123,3,1,7,0,55,1,colin2k
21,0,6,42,0.8,2,0,12669,34,0,1,5,0,53,0,atomicpassenger
24,0,3,40,0.666666667,1,0,23,0,0,0,1,0,52,0,ju86
32,1,6,30.5,0.8,3,1,5733,0,0,0,13,0,10,0,mrvomit
25,0,7,27,0.857142857,2,1,7056,173,0,1,5,1,11,1,zarembianka
21,1,9,25.71428571,0.857142857,5,0,20891,213,0,0,75,0,19,0,deadbort
15,0,22,21.80952381,0.714285714,5,1,2133,16,0,0,18,0,5,0,anamenezesm
19,0,5,26.2,0.8,2,1,7281,2,0,0,12,0,14,1,katjalauer
22,1,4,32.66666667,0.5,3,0,46735,46,0,0,1,0,60,0,hussnain2029
41,1,13,34.5,0.454545455,7,0,3055,585,1,0,20,0,60,1,godbluffvdgg
15,0,4,20.66666667,0.666666667,2,0,1278,1,0,0,1,0,5,0,mariisilveira
19,1,3,34,1,2,0,3818,35,0,1,3,0,31,1,weeemo
17,0,4,22,1,2,0,9067,0,0,0,2,0,18,0,agis944
30,1,3,33,0.5,1,0,2634,2,0,0,1,0,52,0,v_spektor
38,1,9,20,0.571428571,6,0,10078,309,0,1,7,0,24,1,glostyk
40,0,4,44,1,2,1,14863,113,0,0,2,0,56,1,emmathomas
19,1,3,26,0.666666667,2,1,20969,10,0,0,9,0,42,1,flathack
21,1,8,27.33333333,0.75,5,0,17136,0,1,1,7,0,44,0,dyingbreed90
24,0,6,29.33333333,0.6,1,0,20379,48,0,0,3,0,35,0,go_haha
30,1,27,22.90909091,0.583333333,12,2,18430,32,0,0,9,0,36,0,giwrgaki
31,1,8,31.5,0.571428571,4,0,14598,113,1,1,1,0,42,1,jonster2612
27,1,7,26.8,0.8,1,0,19065,327,0,1,4,0,58,1,gipionocheiyort
40,0,6,43.75,1,3,0,13380,25,0,1,9,0,42,0,svetulnik2
23,1,5,30,0.666666667,2,0,11359,252,0,1,3,1,6,0,arunkataria
18,0,22,21.4375,0.842105263,6,1,12878,0,0,0,4,0,7,0,klianka
36,1,12,26.33333333,0.142857143,4,0,7465,15,0,1,4,0,49,1,darknagumo
20,0,5,22.66666667,0,3,0,44040,178,0,0,7,0,11,0,mgtmsmusic
25,1,4,24.66666667,0.25,2,0,11084,27,0,0,0,0,31,1,erkasaurus
19,1,5,19.6,0.8,3,0,11964,195,0,0,1,0,28,0,majewaa
15,1,5,18.6,0.4,1,0,2758,12,0,0,2,0,6,0,biel-96
17,1,4,20.5,0.333333333,1,0,51,6,0,0,2,0,22,0,turkishguitaris
55,1,6,41,0.75,1,0,6621,49,0,1,4,0,33,1,ehvau
28,1,4,24.5,0.5,1,0,41,0,0,1,1,0,29,0,daysleeperr
42,1,3,31.5,1,2,0,543,82,0,1,7,0,40,0,ecollins70
22,0,3,26.5,0.666666667,3,1,26228,3241,0,1,14,0,50,0,irena245
38,1,4,31.5,0.5,1,0,0,0,0,0,1,0,27,1,djdeathboy
25,1,5,27,0.25,2,0,15064,0,0,0,1,0,56,0,burez
19,1,1,26,1,1,0,1393,0,1,0,7,0,43,1,conservatif
32,1,6,21.5,0.5,3,0,3873,57,0,0,3,0,40,1,ratattack11
31,1,2,28.5,0.5,1,0,62139,16,0,0,2,0,34,1,jonathanwarren
20,1,10,25.14285714,0.75,5,0,79175,213,0,0,19,1,55,0,sirdree
15,0,17,20.46666667,0.25,3,0,1379,0,0,0,0,0,5,0,izabelleotoni
17,0,4,23.75,0.75,3,0,1593,1,0,0,1,0,6,0,theladynastya
16,1,7,32.66666667,0,1,0,1890,20,4,1,46,0,28,0,sulej07
19,0,7,27.6,0.5,6,0,91,3,0,1,2,0,52,0,venus_doom
54,1,15,30.77777778,0.071428571,5,4,13485,1343,0,0,13,0,9,1,roguesdungeon
48,1,10,32.16666667,0.857142857,5,0,5620,10,0,1,8,0,73,0,jfranky1
25,1,5,27.6,0.75,1,0,1109,0,0,0,3,0,22,1,chrizz333
27,0,16,31.2,0.916666667,3,0,13176,87,0,0,9,0,19,0,heimarit
38,1,2,33,1,1,0,52,3,0,0,0,0,64,1,christzwarriorz
24,0,8,25.57142857,0.875,3,0,38187,70,0,0,1,0,36,0,mariepixs
26,1,9,25,0.25,6,0,7375,134,0,0,1,1,25,1,sometal85
30,1,2,30.5,0.5,2,0,3843,109,0,1,7,0,39,0,andreyka_111
22,1,14,22,0.538461539,4,2,11303,205,1,0,9,0,17,0,hahawk1
16,1,16,22.58333333,0.071428571,7,0,6700,11,0,3,7,0,40,0,nicolaucotts
20,0,4,20.75,0.25,2,0,13025,263,0,1,5,0,53,0,panonorsu
17,1,11,22.66666667,0.625,1,0,3691,29,1,1,13,0,31,1,proplatypus
42,1,17,36.85714286,0.769230769,6,1,102693,21,8,1,6,0,85,1,denneye
40,1,3,30,0.5,1,0,3998,127,0,1,2,0,10,0,watermonitor
20,1,5,20.5,0.8,4,1,28487,18,0,2,0,0,6,0,dianmer
21,1,4,26,0.5,1,0,2265,16,0,0,17,0,30,0,cristophane1
31,1,7,27,0.4,1,0,11729,0,0,0,5,0,46,1,letzteversion
18,1,2,20,0.5,2,0,19858,0,0,0,2,0,27,1,x7f
17,0,4,22,0.5,2,0,9127,41,0,0,2,0,12,1,anna_lucille
30,0,8,34,0.833333333,5,1,1478,272,2,1,6,0,43,1,anekrel
23,0,2,27,0.5,1,0,6046,449,0,1,2,0,6,1,jasmin66613
19,0,4,24,0.666666667,2,0,13739,147,0,11,13,1,8,0,candilin
26,0,10,32.16666667,0.666666667,4,0,2600,13,0,0,18,0,58,1,mmmmiyoung
49,1,7,48.4,0.833333333,4,0,45405,64,1,0,7,0,82,1,fatalbert
23,1,7,25.14285714,0.428571429,1,0,5802,167,0,1,2,1,17,1,thisisrobashov
23,1,14,23.44444444,0.230769231,5,0,882,6,1,1,12,0,51,0,stars_gazer
19,0,16,22.58333333,0.642857143,5,0,19637,1866,0,0,8,0,18,0,kerarus
29,1,7,30.66666667,0.666666667,2,0,9114,58,0,1,12,0,54,1,erniesmith
28,0,9,28.83333333,0.428571429,7,2,1044,28,2,0,5,0,69,1,lindsey_
30,1,3,35.33333333,0.666666667,1,0,0,0,0,0,1,0,4,0,leo_torres25
35,1,6,32.5,0.25,3,0,21190,434,0,2,5,1,48,0,ctenedor
26,1,15,27.625,0.636363636,4,0,53907,0,0,0,14,1,37,0,stanley_l
18,0,22,23.18181818,0.375,6,0,14536,316,1,0,0,1,8,0,insipid_whisper
25,1,14,26.75,0.7,6,0,5617,35,0,1,9,0,38,0,c18bulgaria
28,0,5,40.66666667,0.6,4,1,487,98,0,0,5,0,39,1,amysu88
19,1,6,30,1,1,0,20691,6,0,0,1,1,55,1,conman0580
17,1,16,19.61538462,0.1875,10,0,0,7,0,1,5,0,14,0,alex-sta
22,1,15,25.88888889,1,3,0,7399,0,4,1,25,0,49,0,jaberwocky
14,1,5,20.25,0.6,1,0,5826,540,0,0,6,0,6,0,miha_77
20,1,7,26.33333333,0.833333333,5,0,16940,30,7,1,6,0,36,1,suchascream
32,1,5,26,0.666666667,2,0,14963,83,0,0,3,0,27,0,daddy_sam
23,1,2,26.5,0.5,2,0,11197,102,0,1,1,1,12,0,ivoterziev
15,0,2,23.5,1,2,0,76,0,0,0,4,0,11,1,emoskater666
29,1,3,33,1,3,1,23975,12,0,1,2,0,46,1,xxdjacksonxx
28,1,3,33,1,3,1,4831,171,0,0,3,0,55,1,rudeboypneb
27,1,5,23.5,0.5,1,0,5399,2,0,1,2,0,13,0,semafobia
24,1,2,26,0.5,1,0,637,0,0,0,0,0,10,0,kingofbrooding
28,0,4,30,0.333333333,1,1,6219,6,0,0,5,0,22,0,georginaballest
23,0,2,20.5,0.5,2,0,2674,2,0,1,1,0,52,1,dimpled_blush
22,0,19,23.8125,0.3125,7,0,6689,21,0,2,5,0,26,0,bforbitchy
21,1,23,24.38888889,0.571428571,2,0,1057,7,0,0,12,0,16,1,xenophanes2113
23,1,36,28.17647059,0.947368421,4,0,44012,32,0,1,4,0,67,1,ssk2
25,0,11,27.57142857,0.875,4,1,25471,225,0,0,7,0,31,1,zombiefacedgirl
26,1,20,28.78571429,0.625,6,2,11547,7,0,0,1,0,17,0,fuckuh
31,1,6,26.4,1,2,0,46800,4,0,0,2,1,25,1,zosxaos
21,1,14,19.4,0.777777778,1,1,14495,286,0,0,100,1,14,1,northern_void
32,1,13,27.25,0.363636364,6,0,51726,152,0,2,0,0,62,0,zakhar
42,1,12,27.25,0.727272727,9,1,24058,38,946,0,17,0,19,0,powergroove69
24,0,13,30.375,0.857142857,8,0,36167,78,1,2,37,0,54,0,belladiestel
23,1,13,27,1,6,1,86594,292,5,1,11,0,47,1,loriando
24,1,13,30.22222222,0.727272727,5,0,40936,12,0,0,15,0,43,1,sogak
36,1,12,37,0.555555556,3,1,42737,431,4,1,10,0,77,0,malleus75
17,0,3,19.33333333,1,1,0,16,0,0,0,0,0,9,0,mandymauro
22,0,4,30,0.666666667,3,0,15666,54,0,1,0,0,39,0,boni_f
20,1,5,21.33333333,1,4,0,25437,79,0,1,0,0,41,0,gaiaillusion
21,0,10,25.57142857,0.875,2,2,15188,0,0,0,7,0,25,1,amy_etchells
50,1,27,35.21428571,0.695652174,8,2,21531,215,1,2,19,1,59,1,northstar1299
21,1,9,25,1,4,1,44103,23,1,1,4,0,46,0,curuj
27,0,6,24.25,0.8,2,0,16692,25,2,0,2,0,69,1,syrithia
21,1,11,23.25,1,2,0,2899,0,0,1,8,0,46,0,psychoatun
29,1,26,32.86666667,0.578947368,7,3,104705,226,0,0,0,0,68,0,marcosrenan
23,1,24,25.06666667,0.666666667,7,0,28190,53,0,0,14,0,62,0,oncedeep
32,1,15,31.2,0.5,2,0,2394,308,1,0,0,0,30,1,rdsmokey
28,0,6,30.2,0.666666667,1,0,5084,50,1,0,4,1,18,1,stefanie-hh
19,0,27,22,0.217391304,5,0,29472,245,0,1,184,0,60,0,shespider-
42,1,14,34.16666667,0.888888889,4,2,134107,61,9,0,0,0,84,1,brooky1969
29,0,19,27.5,0.857142857,10,4,18020,20,0,0,10,0,38,0,allexhale
24,1,5,25.5,0.666666667,1,0,4296,60,1,0,0,0,4,0,robbonzo
16,0,8,24.4,1,3,0,12309,446,0,0,31,1,13,0,showdownit
30,1,9,34.33333333,0.285714286,7,1,79,3,0,0,3,0,33,0,loi0180
20,1,16,29.11111111,0.818181818,7,0,74518,0,0,0,3,0,46,0,acieroidx
26,1,6,32.4,0.666666667,1,0,24,0,0,0,0,0,5,0,uplifto_line
18,1,11,20.72727273,0.7,2,1,6097,39,0,1,14,0,22,0,mathus1193
28,1,8,25.8,0.2,2,0,7244,462,0,1,9,0,56,0,iltia
25,1,18,31.90909091,1,3,2,31941,768,0,0,1,0,60,1,jrencarnacion
18,0,7,22.83333333,0.666666667,2,0,7307,62,0,0,4,1,20,0,karamelka12
29,1,25,24.94736842,0.380952381,6,1,13566,0,0,1,23,0,88,0,azazello
24,1,4,24,1,2,0,12755,63,0,0,1,0,22,0,takumatakk
32,1,2,30,0.5,1,0,17295,78,0,6,1,1,5,0,audiolinemx
32,0,2,32,0,1,0,0,0,0,0,3,0,32,1,vampme17
15,1,2,21,1,1,0,13229,4,29,0,11,0,23,0,merve10495
27,1,3,23,0.333333333,1,0,184,0,0,0,2,0,50,1,arranf
39,1,1,26,0,1,0,1886,26,0,2,1,1,56,0,rnunocruz
22,1,6,23,0.5,2,0,1027,212,0,0,2,0,22,1,shingen69
28,0,4,27,0,2,1,33316,6,0,0,14,1,57,0,michee
20,0,9,25.875,0.75,1,0,2017,36,0,0,15,0,33,0,marianycaxito
26,1,9,26,0.857142857,4,0,19407,6,0,0,18,0,56,0,firstclassriot
24,1,4,23,0.5,1,0,6932,704,0,0,5,0,5,1,dem_oloart
25,1,2,23,1,1,0,4646,20,0,0,1,0,60,0,wolandish
35,1,3,27,1,1,0,4687,3,0,1,0,0,56,0,fnula
44,1,9,26,1,5,0,20619,9,1,2,10,0,45,1,brumsel
27,0,2,29,1,1,0,552,0,0,0,2,0,35,0,zweikanal
15,1,1,17,1,1,0,217,0,0,0,0,0,6,0,neko_kawaii
31,1,7,21,0.5,4,0,24537,0,0,1,3,0,65,1,floruc
24,0,4,23,0.333333333,2,0,9016,32,0,0,2,0,18,1,thequiddler
48,1,2,32,0.5,2,0,2993,0,0,0,2,0,25,1,amainer
20,1,3,20,0.333333333,2,2,32417,246,0,0,17,0,21,1,dotneighbor
38,0,14,32.53846154,0.571428571,7,1,5519,1051,5,0,8,0,61,0,jetfkngblack
21,1,14,26.3,0.916666667,2,0,33663,1,78,1,1,0,84,0,capitinha
16,0,10,19.6,0.125,3,0,12321,10,2,0,4,0,12,0,queen_of_blue
23,1,22,23.73684211,0.833333333,10,0,1506,9,0,1,2,0,41,0,spiceboy88
24,0,14,28.7,1,7,2,8455,114,0,1,13,0,65,0,nicatrixa
24,1,6,24.6,0.4,1,0,439,52,0,1,4,0,28,1,fraudy
17,0,8,17.83333333,0.625,2,0,26942,40,0,0,1,0,21,1,eclipticpanda
26,1,6,25.33333333,0.833333333,2,0,7480,10,0,1,3,0,31,0,pitervp
23,0,3,30.33333333,0.666666667,2,2,1937,125,0,1,0,1,7,1,sheaashley
21,1,9,23.83333333,0.8,1,1,38305,67,0,0,9,1,9,0,herrbap
27,1,6,25.5,0.5,1,1,13242,0,0,0,0,0,58,0,mihkl
39,1,14,40,0.7,4,1,81360,186,1,1,3,0,70,0,qdor
21,1,12,28.42857143,0.583333333,6,2,11234,55,0,2,7,1,31,0,roxamis
29,0,14,31.14285714,0.75,4,2,1190,177,0,7,2,0,34,1,frozenfields
22,0,8,22.8,0.833333333,2,1,27797,69,1,0,1,0,14,0,mo_nia89
26,1,11,22,0.454545455,5,0,0,0,0,0,6,0,10,1,polowdude
24,1,16,28.44444444,0.666666667,4,2,2435,6,0,1,2,0,53,0,ddolphin
28,1,13,32.09090909,0.818181818,2,2,24609,23,0,2,1,0,54,1,varnent
35,1,10,36.25,0.75,1,1,12454,23,0,1,3,0,55,0,johnsyweb
19,1,9,21.25,0.875,2,0,23235,24,0,1,12,0,15,0,vibratorx
22,1,7,22.25,1,2,1,5756,23,0,0,0,0,18,0,balabuch88
39,1,27,32.375,0.571428571,2,2,19340,23,0,0,4,0,38,0,masato
26,0,6,29.2,0.6,1,0,3545,329,0,1,4,0,69,0,nemui-girl
28,1,6,29.2,1,4,0,89080,17,0,0,4,0,53,1,clicq
22,1,14,23.44444444,0.4,3,1,35848,411,0,1,31,0,43,1,actionmirror
25,0,26,28.57894737,0.909090909,7,0,11849,142,0,1,35,0,34,0,luciaolga
23,1,3,24.66666667,1,1,1,19130,171,0,0,1,0,13,0,ryan_j_douglas
34,1,3,28.66666667,0.333333333,1,0,27205,0,0,0,1,0,57,1,milestoner
24,1,6,25.66666667,0.75,1,0,17,0,1,0,0,0,56,1,plancktum
18,0,4,23,0.5,2,0,3238,153,0,1,10,0,38,0,yukie-chan
20,0,5,19.66666667,0.75,4,0,34,0,0,0,5,0,39,1,revolutionology
26,1,8,27,0.75,5,1,36872,458,6,0,19,0,56,0,xeoxeo1047
25,1,3,25.66666667,0.333333333,1,0,6671,23,0,0,0,0,31,1,itsruddy
25,1,3,23.66666667,0.666666667,3,0,31804,50,0,1,4,0,72,0,virgilebesson
20,1,6,28,0.6,2,1,16015,44,5,1,6,0,51,0,beljone
51,1,27,31.35294118,0.791666667,13,1,99,58,0,3,3,0,40,1,dizzg1
25,1,22,26.94444444,1,4,0,73583,0,1,0,4,0,78,1,firesuite
28,1,11,26.625,0.2,6,2,42796,227,0,0,5,0,5,0,jlhm128
28,1,10,27.28571429,0.75,1,0,51104,23,0,1,3,0,71,0,robustiano
18,1,7,24.6,0.666666667,5,0,2200,0,0,0,2,0,7,0,vargsten
38,1,15,29.7,0.727272727,3,0,16517,6,8,1,163,0,79,0,kultowiec
33,1,12,26.42857143,0.5,6,1,48535,1114,0,1,7,1,58,1,cadence242
19,0,17,22.07142857,0.9375,4,0,1708,21,0,0,11,0,4,1,maljia
25,1,6,27,0.833333333,4,0,37449,0,0,0,3,0,35,0,splurov
25,0,15,24.81818182,0.416666667,6,1,32233,93,0,2,3,0,31,1,arandall13
28,1,12,27.36363636,0.25,4,0,29630,39,0,1,6,0,63,0,mluciojr
21,0,13,21.7,0.75,4,0,14735,364,1,0,10,1,41,0,get_this
35,1,17,33.125,0.75,6,0,13724,64,0,1,11,1,51,0,pottyblues
26,0,13,28.54545455,0.769230769,4,0,37563,47,0,0,11,0,57,1,jessie_t
18,0,19,22,0.578947368,1,0,1960,2,0,0,8,0,35,0,rebeca182
30,1,25,30.77777778,0.571428571,11,1,86170,1281,28,0,0,1,70,0,mrmoores
18,0,5,19.2,0,3,0,339,49,0,0,5,0,5,0,blasphxmy
19,1,12,24.81818182,0.181818182,8,0,5536,298,0,0,1,0,13,0,dweyme
25,0,16,30.75,0.9375,10,2,6454,357,41,3,186,0,32,0,kornelie
24,0,3,30,1,1,0,2738,0,0,0,2,0,37,1,vickepete
27,1,10,28.5,0.75,2,0,46970,5,0,1,26,0,59,1,-overwatch-
18,0,2,24,0,1,0,1794,13,0,0,2,0,8,0,paalindroma
22,1,8,23,1,1,0,32194,36,0,1,1,0,51,1,rugeforce2k7
23,1,2,20.5,0.5,1,0,2240,25,0,1,0,1,26,0,flashru
18,1,6,20,1,2,1,7234,50,8,0,10,0,64,0,kenhead
46,0,12,38,0.375,3,0,65645,1177,0,23,8,1,51,0,jolka362
19,1,5,17.5,0.2,1,0,12356,87,0,2,35,0,27,0,danieltripainao
21,0,2,25,1,1,0,252,11,0,1,1,0,52,1,kleenes-monster
33,1,2,27.5,0.5,2,1,1022,14,0,0,1,0,43,0,notmikesince91
38,0,3,57.5,1,2,0,132,5,0,1,2,0,32,1,gaby_cafe
32,1,3,31,0,2,0,0,0,0,0,2,0,29,0,drsoldier
27,1,9,29.16666667,1,2,0,21845,22,1,1,0,0,42,1,sprecords
19,1,2,22.5,0,2,0,9422,138,0,1,1,0,21,1,mattmucus
22,1,4,23,0.666666667,3,0,16165,5,0,1,2,0,54,1,sirspammer
24,1,8,36,1,4,2,4163,1055,12,1,3,1,13,0,brucechainsaw
40,0,9,40,1,7,5,4881,775,0,1,3,1,16,0,laura605
19,0,9,24.33333333,0.75,1,2,780,3,0,0,3,1,36,0,ryadom_s_toboy
34,1,15,29.44444444,0.75,5,1,13793,225,0,1,5,0,74,0,reyesric
30,0,13,30.11111111,0.5,3,2,3177,105,0,1,8,1,59,1,urbandelice
21,0,12,24.1,0.666666667,3,2,10341,30,0,1,29,0,37,0,eviousse
29,0,25,27.55,0.208333333,5,0,15104,48,3,2,3,0,81,1,buckinghamnicks
17,0,13,22.55555556,0.416666667,6,0,1198,73,0,1,2,0,16,0,mellody_requiem
38,0,11,24,0.727272727,2,0,4496,183,0,0,12,1,4,0,kisnapraforgo
22,1,23,24.78571429,0.7,2,0,18373,289,6,4,22,1,17,1,mojo187ed
22,1,12,24.125,0.636363636,3,2,57768,10,1,0,14,0,51,1,emptywishes
17,0,8,19.57142857,0.571428571,1,0,3510,3,0,0,64,0,21,0,lisevandam
22,1,6,28,0.5,3,0,64487,107,1,1,3,0,30,0,flyer89
49,1,7,48.4,0.833333333,4,2,765,5,0,3,14,0,13,1,moving-the-fair
20,0,7,22,0.714285714,2,0,6227,126,0,0,1,0,16,0,mar__tynka
18,0,7,23.14285714,1,5,2,3238,445,24,1,9,0,6,1,sakanade246
18,1,7,19.71428571,0.8,5,0,26254,2,0,0,4,0,14,0,mastalator
20,0,34,24.7037037,0.6,3,0,4015,22,0,0,46,0,27,0,jhorris
38,1,13,38.16666667,1,4,1,29559,2556,5,38,7,0,15,1,carinilumpyhead
44,1,508,26.67292225,0.38209607,43,48,22502,10,7,9,307,1,15,1,rotten69
16,1,40,16.35483871,0.416666667,1,0,3196,0,0,0,8,0,5,0,arthurborsero
22,1,18,29.54545455,0.857142857,5,0,98523,619,6,2,27,0,54,0,pasha89
20,1,3,19.33333333,0,1,0,13904,2,0,0,1,0,16,1,brandnewboy91
22,1,4,18.33333333,0.5,1,0,26150,6,0,0,4,0,62,1,ilovemrdoe
15,0,3,16.33333333,0.333333333,1,0,1429,10,0,0,2,0,13,0,maluwerneck
24,0,13,25.66666667,0.833333333,10,2,15294,32,0,0,5,0,40,0,lizrem
19,1,4,20.33333333,1,1,0,14660,25,0,0,2,0,24,0,hileroland
15,1,25,18,0.666666667,2,0,11089,35,13,0,3,0,11,0,henriquettc
18,0,3,20.33333333,1,2,0,4398,26,0,0,4,0,5,0,nainam
15,1,5,17.33333333,0.8,1,0,465,13,0,0,1,0,7,0,nukekop
33,1,6,30.33333333,0.75,3,0,8307,2,0,0,3,1,12,0,mairaue
22,1,13,31.125,0.6,1,2,38280,35,0,0,0,1,41,0,luigi_medori
28,0,13,27.11111111,0.583333333,5,3,24107,71,0,0,4,0,18,0,jet_v
16,1,24,21.88888889,0.727272727,6,1,31861,81,0,0,15,0,12,0,xitao_
21,0,9,22.42857143,1,2,0,1123,191,0,1,3,0,9,0,jooooojj
22,1,4,22.25,0,1,1,27498,6,0,0,1,1,46,1,tylerdanger
15,0,11,17.5,0,5,0,2742,90,0,0,24,0,5,1,youmenthestars
22,0,3,25,0,2,0,6969,10,0,1,13,0,44,1,stfuchan
23,0,7,19.25,0.428571429,5,0,64560,5,0,0,5,0,30,1,sarenade
19,0,9,21,0.428571429,1,1,6155,13,0,0,7,0,6,0,closetedweeb
25,0,11,30.25,0.888888889,7,1,36952,49,0,1,10,0,72,0,cem86
21,1,12,26.8,0.555555556,3,0,19431,520,2,0,2,0,43,0,keridven
22,1,22,24.375,0.636363636,3,0,28731,128,0,0,7,1,38,1,camillorota
20,1,16,22.21428571,0.692307692,2,0,17361,1418,0,0,4,1,19,0,squorax
22,1,17,23.21428571,0.4,6,0,10960,153,0,0,11,0,28,0,leondiasvieira
23,0,6,25,1,1,0,22398,88,0,0,6,0,19,0,nekrokucyk
19,1,5,21,1,3,0,23846,502,0,1,1,0,29,0,lagrik
31,1,8,29.2,0.8,3,0,91411,331,0,1,13,0,65,0,summerjunk
32,0,16,27,0.5,3,0,2134,56,0,0,12,0,31,0,lunalotis
20,1,11,23.7,0.875,9,0,20885,91,0,0,3,0,53,1,blujuice
16,1,17,23,0.375,3,0,4721,46,1,0,5,0,5,0,ziemo95
18,1,32,24.1,0.75,10,3,18245,236,10,0,144,0,12,1,oaquard
13,1,30,17.44,0.44,7,0,301,1,0,0,13,0,8,0,lovatoily
24,0,15,24.58333333,0.75,2,2,12462,659,0,1,24,0,18,0,carol_eulalio
17,1,20,20.55555556,0.333333333,6,0,8146,23,0,1,15,0,21,0,sieke4life
18,0,28,21.05555556,0.727272727,4,3,22818,66,0,0,14,0,19,1,harrietball
36,1,14,28.75,1,8,0,41801,1201,0,0,11,0,64,0,cfyves
18,1,20,23.76923077,0.466666667,8,1,17219,18,28,1,65,0,50,1,rammstein818
32,1,4,35.5,0.666666667,4,0,24571,68,3,1,2,1,52,0,zeggoo
