Index,Seas_Ep,Season,Episode,Episode_Title,Character,Word_Count,Release_date,Duration,Rating,Writer_1,Writer_2,Director,US_Viewers,rate,rate_aud
37,S4E8,4,8,The Mountain and the Viper,Night's Watch Man,3,6/1/2014,52,9.7,George R.R. Martin,David Benioff,Alex Graves,7.2,96.0,97.0
38,S4E9,4,9,The Watchers on the Wall,Samwell Tarly,4,6/8/2014,51,9.6,George R.R. Martin,David Benioff,Neil Marshall,7.0,94.0,97.0
39,S4E10,4,10,The Children,Mance Rayder,6,6/15/2014,65,9.7,George R.R. Martin,David Benioff,Alex Graves,7.1,98.0,97.0
40,S5E1,5,1,The Wars to Come,Melara Hetherspoon,6,4/12/2015,53,8.5,George R.R. Martin,David Benioff,Michael Slovis,8.0,96.0,90.0
41,S5E2,5,2,The House of Black and White,Ternesio Terys,27,4/19/2015,56,8.5,George R.R. Martin,David Benioff,Michael Slovis,6.8,96.0,90.0
42,S5E3,5,3,High Sparrow,Despondent Man,2,4/26/2015,60,8.5,George R.R. Martin,David Benioff,Mark Mylod,6.7,100.0,90.0
43,S5E4,5,4,Sons of the Harpy,Jaime Lannister,3,5/3/2015,51,8.7,George R.R. Martin,David Benioff,Mark Mylod,6.8,96.0,90.0
44,S5E5,5,5,Kill the Boy,Hizdahr zo Loraq,11,5/10/2015,57,8.6,George R.R. Martin,David Benioff,Jeremy Podeswa,6.6,96.0,90.0
45,S5E6,5,6,"Unbowed, Unbent, Unbroken",Arya Stark,7,5/17/2015,54,8.0,George R.R. Martin,David Benioff,Jeremy Podeswa,6.2,54.0,90.0
46,S5E7,5,7,The Gift,Jon Snow,8,5/24/2015,59,9.0,George R.R. Martin,David Benioff,Miguel Sapochnik,5.4,83.0,90.0
47,S5E8,5,8,Hardhome,Jorah Mormont,6,5/31/2015,61,9.9,George R.R. Martin,David Benioff,Miguel Sapochnik,7.0,100.0,90.0
48,S5E9,5,9,The Dance of Dragons,Stannis Baratheon Soldier #1,2,6/7/2015,52,9.5,George R.R. Martin,David Benioff,David Nutter,7.1,83.0,90.0
49,S5E10,5,10,Mother's Mercy,Melisandre,24,6/14/2015,60,9.1,George R.R. Martin,David Benioff,David Nutter,8.1,92.0,90.0
50,S6E1,6,1,The Red Woman,Loyal Night's Watchman #1,5,4/24/2016,50,8.5,George R.R. Martin,David Benioff,Jeremy Podeswa,7.9,86.0,93.0
51,S6E2,6,2,Home,Young Rodrik Cassel,5,5/1/2016,54,9.4,George R.R. Martin,David Benioff,Jeremy Podeswa,7.3,87.0,93.0
52,S6E3,6,3,Oathbreaker,Davos Seaworth,7,5/8/2016,52,8.7,George R.R. Martin,David Benioff,Daniel Sackheim,7.3,87.0,93.0
53,S6E4,6,4,Book of the Stranger,Eddison Tollett,4,5/15/2016,59,9.1,George R.R. Martin,David Benioff,Daniel Sackheim,7.8,100.0,93.0
54,S6E5,6,5,The Door,Sansa Stark,1,5/22/2016,57,9.7,George R.R. Martin,David Benioff,Jack Bender,7.9,98.0,93.0
55,S6E6,6,6,Blood of My Blood,Bran Stark,4,5/29/2016,52,8.4,George R.R. Martin,David Benioff,Jack Bender,6.7,88.0,93.0
56,S6E7,6,7,The Broken Man,Villager Man #1,7,6/5/2016,51,8.6,George R.R. Martin,David Benioff,Mark Mylod,7.8,98.0,93.0
57,S6E8,6,8,No One,Lady Crane,109,6/12/2016,59,8.4,George R.R. Martin,David Benioff,Mark Mylod,7.6,85.0,93.0
58,S6E9,6,9,Battle of the Bastards,Tyrion Lannister,16,6/19/2016,60,9.9,George R.R. Martin,David Benioff,Miguel Sapochnik,7.7,98.0,93.0
59,S6E10,6,10,The Winds of Winter,Tommen's Manservant,9,6/26/2016,68,9.9,George R.R. Martin,David Benioff,Miguel Sapochnik,8.9,99.0,93.0
60,S7E1,7,1,Dragonstone,Walder Frey,97,7/16/2017,59,8.6,George R.R. Martin,David Benioff,Jeremy Podeswa,10.1,93.0,82.0
61,S7E2,7,2,Stormborn,Tyrion Lannister,10,7/23/2017,59,8.9,George R.R. Martin,David Benioff,Mark Mylod,9.3,96.0,82.0
62,S7E3,7,3,The Queen's Justice,Tyrion Lannister,4,7/30/2017,63,9.2,George R.R. Martin,David Benioff,Mark Mylod,9.3,89.0,82.0
63,S7E4,7,4,The Spoils of War,Lannister Soldier,3,8/6/2017,50,9.8,George R.R. Martin,David Benioff,Matt Shakman,10.2,97.0,82.0
64,S7E5,7,5,Eastwatch,Jaime Lannister,5,8/13/2017,59,8.8,George R.R. Martin,David Benioff,Matt Shakman,10.7,95.0,82.0
65,S7E6,7,6,Beyond the Wall,Jon Snow,4,8/20/2017,70,9.0,George R.R. Martin,David Benioff,Alan Taylor,10.2,84.0,82.0
66,S7E7,7,7,The Dragon and the Wolf,Bronn,1,8/27/2017,80,9.4,George R.R. Martin,David Benioff,Jeremy Podeswa,12.1,87.0,82.0
67,S8E1,8,1,Winterfell,Tyrion Lannister,12,4/14/2019,54,7.6,George R.R. Martin,David Benioff,David Nutter,11.8,92.0,30.0
68,S8E2,8,2,A Knight of the Seven Kingdoms,Daenerys Targaryen,84,4/21/2019,58,7.9,George R.R. Martin,David Benioff,David Nutter,10.3,88.0,30.0
69,S8E3,8,3,The Long Night,Northman #1,1,4/28/2019,82,7.5,George R.R. Martin,David Benioff,Miguel Sapochnik,12.0,74.0,30.0
70,S8E4,8,4,The Last of the Starks,Jon Snow,102,5/5/2019,78,5.5,George R.R. Martin,David Benioff,David Nutter,11.8,57.0,30.0
71,S8E5,8,5,The Bells,Lord Varys,4,5/12/2019,78,6.0,George R.R. Martin,David Benioff,Miguel Sapochnik,12.5,49.0,30.0
72,S8E6,8,6,The Iron Throne,Tyrion Lannister,4,5/19/2019,80,4.1,George R.R. Martin,David Benioff,David Benioff,13.6,48.0,30.0
73,S1E1,1,1,Winter Is Coming,Waymar Royce,24,4/17/2011,62,9.1,David Benioff,D.B. Weiss,Timothy Van Patten,2.2,100.0,96.0
74,S1E2,1,2,The Kingsroad,Daenerys Targaryen,4,4/24/2011,56,8.8,David Benioff,D.B. Weiss,Timothy Van Patten,2.2,100.0,96.0
75,S1E3,1,3,Lord Snow,Eddard Stark,18,5/1/2011,58,8.7,David Benioff,D.B. Weiss,Brian Kirk,2.4,86.0,96.0
76,S1E4,1,4,"Cripples, Bastards, and Broken Things",Theon Greyjoy,3,5/8/2011,56,8.8,David Benioff,D.B. Weiss,Brian Kirk,2.5,100.0,96.0
77,S1E5,1,5,The Wolf and the Lion,Barristan Selmy,14,5/15/2011,55,9.1,David Benioff,D.B. Weiss,Brian Kirk,2.6,95.0,96.0
78,S1E6,1,6,A Golden Crown,Cersei Lannister,8,5/22/2011,53,9.2,David Benioff,D.B. Weiss,Daniel Minahan,2.4,100.0,96.0
79,S1E7,1,7,You Win or You Die,Tywin Lannister,4,5/29/2011,58,9.2,David Benioff,D.B. Weiss,Daniel Minahan,2.4,100.0,96.0
80,S1E8,1,8,The Pointy End,Syrio Forel,4,6/5/2011,59,9.0,David Benioff,D.B. Weiss,Daniel Minahan,2.7,100.0,96.0
81,S1E9,1,9,Baelor,Eddard Stark,8,6/12/2011,57,9.6,David Benioff,D.B. Weiss,Alan Taylor,2.7,100.0,96.0
82,S1E10,1,10,Fire and Blood,Yoren,5,6/19/2011,53,9.5,David Benioff,D.B. Weiss,Alan Taylor,3.0,100.0,96.0
83,S2E1,2,1,The North Remembers,Joffrey Baratheon,4,4/1/2012,53,8.8,George R.R. Martin,David Benioff,Alan Taylor,3.9,100.0,96.0
84,S2E2,2,2,The Night Lands,Jaqen H'ghar,2,4/8/2012,54,8.5,George R.R. Martin,David Benioff,Alan Taylor,3.8,89.0,96.0
85,S2E3,2,3,What Is Dead May Never Die,Jeor Mormont,2,4/15/2012,53,8.8,George R.R. Martin,David Benioff,Alik Sakharov,3.8,100.0,96.0
86,S2E4,2,4,Garden of Bones,Rennick,14,4/22/2012,51,8.8,George R.R. Martin,David Benioff,David Petrarca,3.7,97.0,96.0
87,S2E5,2,5,The Ghost of Harrenhal,Catelyn Stark,12,4/29/2012,55,8.8,George R.R. Martin,David Benioff,David Petrarca,3.9,96.0,96.0
88,S2E6,2,6,The Old Gods and the New,Bran Stark,1,5/6/2012,54,9.1,George R.R. Martin,David Benioff,David Nutter,3.9,100.0,96.0
89,S2E7,2,7,A Man Without Honor,Black Lorren,6,5/13/2012,56,8.9,George R.R. Martin,David Benioff,David Nutter,3.7,96.0,96.0
90,S2E8,2,8,The Prince of Winterfell,Ironborn Man #2,3,5/20/2012,54,8.8,George R.R. Martin,David Benioff,Alan Taylor,3.9,100.0,96.0
91,S2E9,2,9,Blackwater,Matthos Seaworth,4,5/27/2012,55,9.7,George R.R. Martin,David Benioff,Neil Marshall,3.4,100.0,96.0
92,S2E10,2,10,Valar Morghulis,Podrick Payne,3,6/3/2012,64,9.4,George R.R. Martin,David Benioff,Alan Taylor,4.2,92.0,96.0
93,S3E1,3,1,Valar Dohaeris,Samwell Tarly,1,3/31/2013,55,8.8,George R.R. Martin,David Benioff,Daniel Minahan,4.4,98.0,97.0
94,S3E2,3,2,"Dark Wings, Dark Words",Robb Stark,4,4/7/2013,56,8.6,George R.R. Martin,David Benioff,Daniel Minahan,4.3,89.0,97.0
95,S3E3,3,3,Walk of Punishment,Brynden Tully,19,4/14/2013,56,8.9,George R.R. Martin,David Benioff,David Benioff,4.7,92.0,97.0
96,S3E4,3,4,And Now His Watch Is Ended,Locke,26,4/21/2013,53,9.6,George R.R. Martin,David Benioff,Alex Graves,4.9,100.0,97.0
97,S3E5,3,5,Kissed by Fire,Brotherhood Men,5,4/28/2013,57,9.0,George R.R. Martin,David Benioff,Alex Graves,5.4,100.0,97.0
98,S3E6,3,6,The Climb,Samwell Tarly,8,5/5/2013,53,8.8,George R.R. Martin,David Benioff,Alik Sakharov,5.5,83.0,97.0
99,S3E7,3,7,The Bear and the Maiden Fair,Jon Snow,5,5/12/2013,58,8.7,George R.R. Martin,David Benioff,Michelle MacLaren,4.8,77.0,97.0
100,S3E8,3,8,Second Sons,Arya Stark,6,5/19/2013,56,9.0,George R.R. Martin,David Benioff,Michelle MacLaren,5.1,97.0,97.0
101,S3E9,3,9,The Rains of Castamere,Robb Stark,1,6/2/2013,51,9.9,George R.R. Martin,David Benioff,David Nutter,5.2,100.0,97.0
102,S3E10,3,10,Mhysa,Frey Man,3,6/9/2013,63,9.2,George R.R. Martin,David Benioff,David Nutter,5.4,100.0,97.0
103,S4E1,4,1,Two Swords,Tywin Lannister,1,4/6/2014,58,9.1,George R.R. Martin,David Benioff,D.B. Weiss,6.6,95.0,97.0
104,S4E2,4,2,The Lion and the Rose,Myranda,1,4/13/2014,52,9.7,George R.R. Martin,David Benioff,Alex Graves,6.3,100.0,97.0
105,S4E3,4,3,Breaker of Chains,Dontos Hollard,4,4/20/2014,57,8.9,George R.R. Martin,David Benioff,Alex Graves,6.6,96.0,97.0
106,S4E4,4,4,Oathkeeper,Missandei,3,4/27/2014,55,8.8,George R.R. Martin,David Benioff,Michelle MacLaren,7.0,96.0,97.0
107,S4E5,4,5,First of His Name,King's Landing Crowd,4,5/4/2014,53,8.7,George R.R. Martin,David Benioff,Michelle MacLaren,7.2,98.0,97.0
108,S4E6,4,6,The Laws of Gods and Men,Stannis Baratheon,5,5/11/2014,51,9.7,George R.R. Martin,David Benioff,Alik Sakharov,6.4,96.0,97.0
109,S4E7,4,7,Mockingbird,Tyrion Lannister,25,5/18/2014,51,9.1,George R.R. Martin,David Benioff,Alik Sakharov,7.2,100.0,97.0
110,S4E8,4,8,The Mountain and the Viper,Kegs,4,6/1/2014,52,9.7,George R.R. Martin,David Benioff,Alex Graves,7.2,96.0,97.0
111,S4E9,4,9,The Watchers on the Wall,Jon Snow,5,6/8/2014,51,9.6,George R.R. Martin,David Benioff,Neil Marshall,7.0,94.0,97.0
112,S4E10,4,10,The Children,Jon Snow,7,6/15/2014,65,9.7,George R.R. Martin,David Benioff,Alex Graves,7.1,98.0,97.0
113,S5E1,5,1,The Wars to Come,Young Cersei Lannister,2,4/12/2015,53,8.5,George R.R. Martin,David Benioff,Michael Slovis,8.0,96.0,90.0
114,S5E2,5,2,The House of Black and White,Arya Stark,4,4/19/2015,56,8.5,George R.R. Martin,David Benioff,Michael Slovis,6.8,96.0,90.0
115,S5E3,5,3,High Sparrow,Jaqen H'ghar,2,4/26/2015,60,8.5,George R.R. Martin,David Benioff,Mark Mylod,6.7,100.0,90.0
116,S5E4,5,4,Sons of the Harpy,Merchant Captain,6,5/3/2015,51,8.7,George R.R. Martin,David Benioff,Mark Mylod,6.8,96.0,90.0
117,S5E5,5,5,Kill the Boy,Daenerys Targaryen,31,5/10/2015,57,8.6,George R.R. Martin,David Benioff,Jeremy Podeswa,6.6,96.0,90.0
118,S5E6,5,6,"Unbowed, Unbent, Unbroken",The Waif,4,5/17/2015,54,8.0,George R.R. Martin,David Benioff,Jeremy Podeswa,6.2,54.0,90.0
119,S5E7,5,7,The Gift,Alliser Thorne,31,5/24/2015,59,9.0,George R.R. Martin,David Benioff,Miguel Sapochnik,5.4,83.0,90.0
120,S5E8,5,8,Hardhome,Daenerys Targaryen,15,5/31/2015,61,9.9,George R.R. Martin,David Benioff,Miguel Sapochnik,7.0,100.0,90.0
121,S5E9,5,9,The Dance of Dragons,Stannis Baratheon Soldier #2,2,6/7/2015,52,9.5,George R.R. Martin,David Benioff,David Nutter,7.1,83.0,90.0
122,S5E10,5,10,Mother's Mercy,Stannis Baratheon,4,6/14/2015,60,9.1,George R.R. Martin,David Benioff,David Nutter,8.1,92.0,90.0
123,S6E1,6,1,The Red Woman,Loyal Night's Watchman #2,4,4/24/2016,50,8.5,George R.R. Martin,David Benioff,Jeremy Podeswa,7.9,86.0,93.0
124,S6E2,6,2,Home,Bran Stark,7,5/1/2016,54,9.4,George R.R. Martin,David Benioff,Jeremy Podeswa,7.3,87.0,93.0
125,S6E3,6,3,Oathbreaker,Jon Snow,15,5/8/2016,52,8.7,George R.R. Martin,David Benioff,Daniel Sackheim,7.3,87.0,93.0
126,S6E4,6,4,Book of the Stranger,Jon Snow,1,5/15/2016,59,9.1,George R.R. Martin,David Benioff,Daniel Sackheim,7.8,100.0,93.0
127,S6E5,6,5,The Door,Night's Watch Man #1,4,5/22/2016,57,9.7,George R.R. Martin,David Benioff,Jack Bender,7.9,98.0,93.0
128,S6E6,6,6,Blood of My Blood,Meera Reed,3,5/29/2016,52,8.4,George R.R. Martin,David Benioff,Jack Bender,6.7,88.0,93.0
129,S6E7,6,7,The Broken Man,Villager Man #2,2,6/5/2016,51,8.6,George R.R. Martin,David Benioff,Mark Mylod,7.8,98.0,93.0
130,S6E8,6,8,No One,Bobono,27,6/12/2016,59,8.4,George R.R. Martin,David Benioff,Mark Mylod,7.6,85.0,93.0
131,S6E9,6,9,Battle of the Bastards,Daenerys Targaryen,6,6/19/2016,60,9.9,George R.R. Martin,David Benioff,Miguel Sapochnik,7.7,98.0,93.0
132,S6E10,6,10,The Winds of Winter,Marei,4,6/26/2016,68,9.9,George R.R. Martin,David Benioff,Miguel Sapochnik,8.9,99.0,93.0
133,S7E1,7,1,Dragonstone,Frey Men,2,7/16/2017,59,8.6,George R.R. Martin,David Benioff,Jeremy Podeswa,10.1,93.0,82.0
134,S7E2,7,2,Stormborn,Lord Varys,14,7/23/2017,59,8.9,George R.R. Martin,David Benioff,Mark Mylod,9.3,96.0,82.0
135,S7E3,7,3,The Queen's Justice,Jon Snow,5,7/30/2017,63,9.2,George R.R. Martin,David Benioff,Mark Mylod,9.3,89.0,82.0
136,S7E4,7,4,The Spoils of War,Bronn,38,8/6/2017,50,9.8,George R.R. Martin,David Benioff,Matt Shakman,10.2,97.0,82.0
137,S7E5,7,5,Eastwatch,Bronn,7,8/13/2017,59,8.8,George R.R. Martin,David Benioff,Matt Shakman,10.7,95.0,82.0
138,S7E6,7,6,Beyond the Wall,Gendry,1,8/20/2017,70,9.0,George R.R. Martin,David Benioff,Alan Taylor,10.2,84.0,82.0
139,S7E7,7,7,The Dragon and the Wolf,Lannister Soldier #1,3,8/27/2017,80,9.4,George R.R. Martin,David Benioff,Jeremy Podeswa,12.1,87.0,82.0
140,S8E1,8,1,Winterfell,Lord Varys,15,4/14/2019,54,7.6,George R.R. Martin,David Benioff,David Nutter,11.8,92.0,30.0
141,S8E2,8,2,A Knight of the Seven Kingdoms,Jaime Lannister,2,4/21/2019,58,7.9,George R.R. Martin,David Benioff,David Nutter,10.3,88.0,30.0
142,S8E3,8,3,The Long Night,Northman #2,2,4/28/2019,82,7.5,George R.R. Martin,David Benioff,Miguel Sapochnik,12.0,74.0,30.0
143,S8E4,8,4,The Last of the Starks,Winterfell Man #1,3,5/5/2019,78,5.5,George R.R. Martin,David Benioff,David Nutter,11.8,57.0,30.0
144,S8E5,8,5,The Bells,Martha,3,5/12/2019,78,6.0,George R.R. Martin,David Benioff,Miguel Sapochnik,12.5,49.0,30.0
145,S8E6,8,6,The Iron Throne,Jon Snow,10,5/19/2019,80,4.1,George R.R. Martin,David Benioff,David Benioff,13.6,48.0,30.0
146,S1E1,1,1,Winter Is Coming,Will,21,4/17/2011,62,9.1,David Benioff,D.B. Weiss,Timothy Van Patten,2.2,100.0,96.0
147,S1E2,1,2,The Kingsroad,Jorah Mormont,65,4/24/2011,56,8.8,David Benioff,D.B. Weiss,Timothy Van Patten,2.2,100.0,96.0
148,S1E3,1,3,Lord Snow,Jory Cassel,3,5/1/2011,58,8.7,David Benioff,D.B. Weiss,Brian Kirk,2.4,86.0,96.0
149,S1E4,1,4,"Cripples, Bastards, and Broken Things",Bran Stark,6,5/8/2011,56,8.8,David Benioff,D.B. Weiss,Brian Kirk,2.5,100.0,96.0
150,S1E5,1,5,The Wolf and the Lion,Eddard Stark,6,5/15/2011,55,9.1,David Benioff,D.B. Weiss,Brian Kirk,2.6,95.0,96.0
151,S1E6,1,6,A Golden Crown,Eddard Stark,7,5/22/2011,53,9.2,David Benioff,D.B. Weiss,Daniel Minahan,2.4,100.0,96.0
152,S1E7,1,7,You Win or You Die,Tywin Lannister,17,5/29/2011,58,9.2,David Benioff,D.B. Weiss,Daniel Minahan,2.4,100.0,96.0
153,S1E8,1,8,The Pointy End,Vayon Poole,12,6/5/2011,59,9.0,David Benioff,D.B. Weiss,Daniel Minahan,2.7,100.0,96.0
154,S1E9,1,9,Baelor,Lord Varys,17,6/12/2011,57,9.6,David Benioff,D.B. Weiss,Alan Taylor,2.7,100.0,96.0
155,S1E10,1,10,Fire and Blood,Arya Stark,4,6/19/2011,53,9.5,David Benioff,D.B. Weiss,Alan Taylor,3.0,100.0,96.0
156,S2E1,2,1,The North Remembers,Sansa Stark,6,4/1/2012,53,8.8,George R.R. Martin,David Benioff,Alan Taylor,3.9,100.0,96.0
157,S2E2,2,2,The Night Lands,Arya Stark,4,4/8/2012,54,8.5,George R.R. Martin,David Benioff,Alan Taylor,3.8,89.0,96.0
158,S2E3,2,3,What Is Dead May Never Die,Jon Snow,2,4/15/2012,53,8.8,George R.R. Martin,David Benioff,Alik Sakharov,3.8,100.0,96.0
159,S2E4,2,4,Garden of Bones,Lannister Guard,16,4/22/2012,51,8.8,George R.R. Martin,David Benioff,David Petrarca,3.7,97.0,96.0
160,S2E5,2,5,The Ghost of Harrenhal,Renly Baratheon,40,4/29/2012,55,8.8,George R.R. Martin,David Benioff,David Petrarca,3.9,96.0,96.0
161,S2E6,2,6,The Old Gods and the New,Theon Greyjoy,31,5/6/2012,54,9.1,George R.R. Martin,David Benioff,David Nutter,3.9,100.0,96.0
162,S2E7,2,7,A Man Without Honor,Theon Greyjoy,22,5/13/2012,56,8.9,George R.R. Martin,David Benioff,David Nutter,3.7,96.0,96.0
163,S2E8,2,8,The Prince of Winterfell,Yara Greyjoy,6,5/20/2012,54,8.8,George R.R. Martin,David Benioff,Alan Taylor,3.9,100.0,96.0
164,S2E9,2,9,Blackwater,Davos Seaworth,13,5/27/2012,55,9.7,George R.R. Martin,David Benioff,Neil Marshall,3.4,100.0,96.0
165,S2E10,2,10,Valar Morghulis,Grand Maester Pycelle,7,6/3/2012,64,9.4,George R.R. Martin,David Benioff,Alan Taylor,4.2,92.0,96.0
166,S3E1,3,1,Valar Dohaeris,Jeor Mormont,59,3/31/2013,55,8.8,George R.R. Martin,David Benioff,Daniel Minahan,4.4,98.0,97.0
167,S3E2,3,2,"Dark Wings, Dark Words",Eddard Stark,10,4/7/2013,56,8.6,George R.R. Martin,David Benioff,Daniel Minahan,4.3,89.0,97.0
168,S3E3,3,3,Walk of Punishment,Edmure Tully,7,4/14/2013,56,8.9,George R.R. Martin,David Benioff,David Benioff,4.7,92.0,97.0
169,S3E4,3,4,And Now His Watch Is Ended,Brienne of Tarth,14,4/21/2013,53,9.6,George R.R. Martin,David Benioff,Alex Graves,4.9,100.0,97.0
170,S3E5,3,5,Kissed by Fire,Thoros Of Myr,36,4/28/2013,57,9.0,George R.R. Martin,David Benioff,Alex Graves,5.4,100.0,97.0
171,S3E6,3,6,The Climb,Gilly,9,5/5/2013,53,8.8,George R.R. Martin,David Benioff,Alik Sakharov,5.5,83.0,97.0
172,S3E7,3,7,The Bear and the Maiden Fair,Ygritte,5,5/12/2013,58,8.7,George R.R. Martin,David Benioff,Michelle MacLaren,4.8,77.0,97.0
173,S3E8,3,8,Second Sons,Sandor Clegane,40,5/19/2013,56,9.0,George R.R. Martin,David Benioff,Michelle MacLaren,5.1,97.0,97.0
174,S3E9,3,9,The Rains of Castamere,Catelyn Stark,2,6/2/2013,51,9.9,George R.R. Martin,David Benioff,David Nutter,5.2,100.0,97.0
175,S3E10,3,10,Mhysa,Frey Men,30,6/9/2013,63,9.2,George R.R. Martin,David Benioff,David Nutter,5.4,100.0,97.0
