Index,Release Date,Season,Episode,Episode Title,Name,gender,class,house,Sentence,
1301,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",alliser thorne,male,noble,lesser,"That's admirable. I spent six months out there, beyond the Wall during the last winter. It was supposed to be a two-week mission. We heard a rumor Mance Rayder was planning to attack Eastwatch. So we went out to look for some of his men... Capture them, gather some knowledge. The Wildlings who fight for Mance Rayder are hard men. Harder than you'll ever be. They know their country better than we do. They knew there was a storm coming in. So they hid in their caves and waited for it to pass. And we got caught in the open. Wind so strong it yanked 100-foot trees straight from the ground, roots and all. If you took your gloves off to find your cock to have a piss, you lost a finger to the frost. And all in darkness. You don't know cold. Neither of you do. The horses died first. We didn't have enough to feed them, to keep them warm. Eating the horses was easy. But later when we started to fall... That wasn't easy. We should have had a couple of boys like you along, shouldn't we? Soft, fat boys like you. We'd have lasted a fortnight on you and still had bones leftover for soup. Soon we'll have new recruits and you lot will be passed along to the Lord Commander for assignment and they will call you men of the Night's Watch, but you'd be fools to believe it. You're boys still. And come the winter you will die... Like flies.",2
2420,6/5/2011,Season 1,Episode 8,The Pointy End,alliser thorne,male,noble,lesser,"Lord Commander, Maester Aemon awaits you in his chambers. A raven from King's Landing.",2
10959,4/6/2014,Season 4,Episode 1,Two Swords,alliser thorne,male,noble,lesser,So you admit you murdered Qhorin Halfhand?,2
10961,4/6/2014,Season 4,Episode 1,Two Swords,alliser thorne,male,noble,lesser,No? You put your sword through a brother of the Night's Watch. What do you call that?,2
10965,4/6/2014,Season 4,Episode 1,Two Swords,alliser thorne,male,noble,lesser,Don't talk about the Halfhand as if you knew him. He was my brother.,2
10973,4/6/2014,Season 4,Episode 1,Two Swords,alliser thorne,male,noble,lesser,There's a difference between sneaking off to the Mole's Town brothel and sleeping with the enemy.,2
10975,4/6/2014,Season 4,Episode 1,Two Swords,alliser thorne,male,noble,lesser,Impossible. You can't get 50 wildlings together before they start killing each other.,2
10985,4/6/2014,Season 4,Episode 1,Two Swords,alliser thorne,male,noble,lesser,"I am acting commander here, Maester Aemon.",2
10987,4/6/2014,Season 4,Episode 1,Two Swords,alliser thorne,male,noble,lesser,And I don't trust the bastard.,2
10989,4/6/2014,Season 4,Episode 1,Two Swords,alliser thorne,male,noble,lesser,And you always know when a man's telling a lie? How did you acquire this magical power?,2
11677,4/20/2014,Season 4,Episode 3,Breaker of Chains,alliser thorne,male,noble,lesser,"There he is, Sam the Slayer.",2
11900,4/20/2014,Season 4,Episode 3,Breaker of Chains,alliser thorne,male,noble,lesser,"If we go after them, we'll be giving them what they want. They want to draw us out, pick us off a few at a time.",2
11903,4/20/2014,Season 4,Episode 3,Breaker of Chains,alliser thorne,male,noble,lesser,"You're a champion of the common people, Lord Snow. What do you say to Brother Pyp's proposition?",2
11905,4/20/2014,Season 4,Episode 3,Breaker of Chains,alliser thorne,male,noble,lesser,We need to shore up Castle Black and we need to defend the Wall. That is our job.,2
11909,4/20/2014,Season 4,Episode 3,Breaker of Chains,alliser thorne,male,noble,lesser,What took you so long?,2
11911,4/20/2014,Season 4,Episode 3,Breaker of Chains,alliser thorne,male,noble,lesser,By what?,2
11917,4/20/2014,Season 4,Episode 3,Breaker of Chains,alliser thorne,male,noble,lesser,"We just went over this, boy. -Justice can wait.",2
12070,4/27/2014,Season 4,Episode 4,Oathkeeper,alliser thorne,male,noble,lesser,Lord Snow. What do you think you're doing?,2
12072,4/27/2014,Season 4,Episode 4,Oathkeeper,alliser thorne,male,noble,lesser,"Grenn's a ranger.You're a steward. Maybe you forgot that while you were off with your wildling bitch, but I didn't.",2
12074,4/27/2014,Season 4,Episode 4,Oathkeeper,alliser thorne,male,noble,lesser,And that someone isn't you. Go find a chamber pot to empty. Go on. Do it. You traitor's bastard. Give me an excuse. Mormont's not hereto protect you now.,2
12075,4/27/2014,Season 4,Episode 4,Oathkeeper,alliser thorne,male,noble,lesser,Get back to work. Now! I said now!,2
12077,4/27/2014,Season 4,Episode 4,Oathkeeper,alliser thorne,male,noble,lesser,You think I care if they like me? We're at war.,2
12085,4/27/2014,Season 4,Episode 4,Oathkeeper,alliser thorne,male,noble,lesser,"Come on, get on with it. What are you waiting for? Summer?",2
12161,4/27/2014,Season 4,Episode 4,Oathkeeper,alliser thorne,male,noble,lesser,"Your foray to Craster's Keep, I'll sanction it. But I won't order anyone to go with you. Volunteers only.",2
12986,5/18/2014,Season 4,Episode 7,Mockingbird,alliser thorne,male,noble,lesser,Lord Snow.,2
12987,5/18/2014,Season 4,Episode 7,Mockingbird,alliser thorne,male,noble,lesser,This is no place for wild beasts. Lock him away or I'll let Hobb throw him in tonight's stew.,2
12992,5/18/2014,Season 4,Episode 7,Mockingbird,alliser thorne,male,noble,lesser,We've been preparing.,2
12994,5/18/2014,Season 4,Episode 7,Mockingbird,alliser thorne,male,noble,lesser,And how would we range north?,2
12996,5/18/2014,Season 4,Episode 7,Mockingbird,alliser thorne,male,noble,lesser,"Coward. You would cut off our legs, pluck out our eyes, leave us cowering behind the Wall hoping for the storm to pass?",2
12998,5/18/2014,Season 4,Episode 7,Mockingbird,alliser thorne,male,noble,lesser,"This castle has stood for thousands of years. The Night's Watch has defended her for thousands of years. And in all those centuries, we have never sealed the tunnel.",2
13000,5/18/2014,Season 4,Episode 7,Mockingbird,alliser thorne,male,noble,lesser,The bars on those gates are four inches thick. Cold-rolled steel.,2
13002,5/18/2014,Season 4,Episode 7,Mockingbird,alliser thorne,male,noble,lesser,"Remind me which order you belong to, Lord Snow.",2
13004,5/18/2014,Season 4,Episode 7,Mockingbird,alliser thorne,male,noble,lesser,Are the stewards responsible for maintaining the tunnel?,2
13006,5/18/2014,Season 4,Episode 7,Mockingbird,alliser thorne,male,noble,lesser,Who would that be?,2
13008,5/18/2014,Season 4,Episode 7,Mockingbird,alliser thorne,male,noble,lesser,"Ah, the builders. First Builder Yarwyck, Lord Snow here recommends sealing the tunnel, leaving us unable to carry out our duties as sworn brothers of the Night's Watch. Do you agree with him?",2
13010,5/18/2014,Season 4,Episode 7,Mockingbird,alliser thorne,male,noble,lesser,"Given your deep knowledge of the Wildling army, Lord Snow, you and Tarly will take night duties atop the Wall until the full moon.",2
13011,5/18/2014,Season 4,Episode 7,Mockingbird,alliser thorne,male,noble,lesser,"Moving on. First Builder, we'll need a hundred barrels of pitch brought atop the wall.",2
13649,6/8/2014,Season 4,Episode 9,The Watchers on the Wall,alliser thorne,male,noble,lesser,Get ready!,2
13653,6/8/2014,Season 4,Episode 9,The Watchers on the Wall,alliser thorne,male,noble,lesser,A hundred thousand you say?,2
13655,6/8/2014,Season 4,Episode 9,The Watchers on the Wall,alliser thorne,male,noble,lesser,You can say it if you like. We shouldo ve sealed the tunnel while we had the chance like you suggested.,2
13657,6/8/2014,Season 4,Episode 9,The Watchers on the Wall,alliser thorne,male,noble,lesser,"Do you know what leadership means, Lord Snow? It means that the person in charge gets second-guessed by every clever little twat with a mouth. But if he starts second-guessing himself, that's the end. For him. For the clever little twats. For everyone. This is not the end. Not for us. Not if you lot do your duty for however long it takes to beat them back. And then you get to go on hating me and I get to go on wishing your Wildling whore had finished the job.",2
13683,6/8/2014,Season 4,Episode 9,The Watchers on the Wall,alliser thorne,male,noble,lesser,"Archers knock, everyone else hold.",2
13684,6/8/2014,Season 4,Episode 9,The Watchers on the Wall,alliser thorne,male,noble,lesser,I said knock and hold you cunts! Does knock mean draw?!,2
13686,6/8/2014,Season 4,Episode 9,The Watchers on the Wall,alliser thorne,male,noble,lesser,Does fucking hold mean fucking drop?!,2
13687,6/8/2014,Season 4,Episode 9,The Watchers on the Wall,alliser thorne,male,noble,lesser,You all plan to die here tonight?,2
13688,6/8/2014,Season 4,Episode 9,The Watchers on the Wall,alliser thorne,male,noble,lesser,That's very good to hear. Draw!,2
13691,6/8/2014,Season 4,Episode 9,The Watchers on the Wall,alliser thorne,male,noble,lesser,Now?,2
13693,6/8/2014,Season 4,Episode 9,The Watchers on the Wall,alliser thorne,male,noble,lesser,"I'm going down then. Brother Slynt, you have The Wall.",2
13695,6/8/2014,Season 4,Episode 9,The Watchers on the Wall,alliser thorne,male,noble,lesser,"What are you fucking waiting for, loose!",2
13703,6/8/2014,Season 4,Episode 9,The Watchers on the Wall,alliser thorne,male,noble,lesser,Brothers! A hundred generations have defended this castle. We've never fallen before. She will not fall tongiht. Those are Things at our walls. They eat the flesh of the men they kill. Do you want to fill the belly of a Thing tonight?,2
13705,6/8/2014,Season 4,Episode 9,The Watchers on the Wall,alliser thorne,male,noble,lesser,"Tonight we fight. And when the sun rises I promise you, Castle Black will stand.",2
13706,6/8/2014,Season 4,Episode 9,The Watchers on the Wall,alliser thorne,male,noble,lesser,The Night's Watch will stand.,2
13707,6/8/2014,Season 4,Episode 9,The Watchers on the Wall,alliser thorne,male,noble,lesser,"With me now! Now, with me!",2
13734,6/8/2014,Season 4,Episode 9,The Watchers on the Wall,alliser thorne,male,noble,lesser,Protect the gate!,2
13735,6/8/2014,Season 4,Episode 9,The Watchers on the Wall,alliser thorne,male,noble,lesser,Hold the fucking gate! Hold it!,2
14197,4/12/2015,Season 5,Episode 1,The Wars to Come,alliser thorne,male,noble,lesser,These men need a firm hand. Always have. They're poachers and thieves.,2
14198,4/12/2015,Season 5,Episode 1,The Wars to Come,alliser thorne,male,noble,lesser,Not soldiers.,2
14735,4/19/2015,Season 5,Episode 2,The House of Black and White,alliser thorne,male,noble,lesser,Crowded. You'd think we were serving venison stew.,2
14752,4/19/2015,Season 5,Episode 2,The House of Black and White,alliser thorne,male,noble,lesser,"I can't argue with any of that. But who does Jon Snow want to command? Night's Watch or the wildlings? Everyone knows he loved a wildling girl and spoke with Mance Rayder many times. What would have happened in that tent between those two old friends if Stannis's army hadn't come along? We all saw him put the King-beyond-the-Wall out of his misery. Do you want to choose a man who has fought the wildlings all his life, or a man who makes love to them?",2
15512,5/10/2015,Season 5,Episode 5,Kill the Boy,alliser thorne,male,noble,lesser,We've been fighting them all for thousands of years. They've slaughtered villages. They've slaughtered our brothers.,2
16055,5/24/2015,Season 5,Episode 7,The Gift,alliser thorne,male,noble,lesser,"Lord Commander, it is my duty to tell you I believe this mission to be reckless, foolhardy, and an insult to all of the Brothers that have died fighting the wildlings.",2
16092,5/24/2015,Season 5,Episode 7,The Gift,alliser thorne,male,noble,lesser,"You're losing all your friends, Tarly.",2
16672,6/7/2015,Season 5,Episode 9,The Dance of Dragons,alliser thorne,male,noble,lesser,Open the gates.,2
16678,6/7/2015,Season 5,Episode 9,The Dance of Dragons,alliser thorne,male,noble,lesser,"You have a good heart, Jon Snow. It will get us all killed.",2
17137,6/14/2015,Season 5,Episode 10,Mother’s Mercy,alliser thorne,male,noble,lesser,Man says he saw your uncle at Hardhome the last full moon.,2
17139,6/14/2015,Season 5,Episode 10,Mother’s Mercy,alliser thorne,male,noble,lesser,Could be. There are ways to find out.,2
17141,6/14/2015,Season 5,Episode 10,Mother’s Mercy,alliser thorne,male,noble,lesser,Over there.,2
17142,6/14/2015,Season 5,Episode 10,Mother’s Mercy,alliser thorne,male,noble,lesser,For the Watch.,2
17160,4/24/2015,Season 6,Episode 1,The Red Woman,alliser thorne,male,noble,lesser,You all know why you're here Jon Snow is dead,2
17162,4/24/2015,Season 6,Episode 1,The Red Woman,alliser thorne,male,noble,lesser,I did,2
17163,4/24/2015,Season 6,Episode 1,The Red Woman,alliser thorne,male,noble,lesser,And Bowen Marsh and Othell Yarwyck and the other officers in this castle,2
17166,4/24/2015,Season 6,Episode 1,The Red Woman,alliser thorne,male,noble,lesser,You're right!,2
17167,4/24/2015,Season 6,Episode 1,The Red Woman,alliser thorne,male,noble,lesser,"We've committed treason, all of us Jon Snow was my Lord Commander I had no love for him That was no secret But I never once disobeyed an order Loyalty is the foundation on which the Night's Watch is built, and the Watch means everything to me I have given my life, we have all given our lives to the Night's Watch Jon Snow was going to destroy the Night's Watch He let the wildlings through our gates, as no Lord Commander has ever done before He gave them the very land on which they reaved and raped and murdered Lord Commander Snow did what he thought was right, I've no doubt about that And what he thought was right would have been the end of us He thrust a terrible choice upon us, and we made it",2
17352,4/24/2015,Season 6,Episode 1,The Red Woman,alliser thorne,male,noble,lesser,"Ser Davos, we have no cause to fight We are both anointed knights",2
17354,4/24/2015,Season 6,Episode 1,The Red Woman,alliser thorne,male,noble,lesser,"I will grant amnesty to all brothers who thrown down their arms before nightfall And you, Ser Davos, I will allow you to travel south, a free man with a fresh horse",2
17356,4/24/2015,Season 6,Episode 1,The Red Woman,alliser thorne,male,noble,lesser,What?,2
17358,4/24/2015,Season 6,Episode 1,The Red Woman,alliser thorne,male,noble,lesser,"We'll give you food You can bring the Red Woman with you if you like Or you can leave her here with us, whichever you choose But surrender by nightfall or this ends with blood",2
17410,5/1/2016,Season 6,Episode 2,Home,alliser thorne,male,noble,lesser,"It's time, Ser Davos Open the door and the men inside can rejoin their brothers in peace We'll even set the wolf free north of the Wall where it belongs Nobody needs to die tonight",2
17413,5/1/2016,Season 6,Episode 2,Home,alliser thorne,male,noble,lesser,Come on,2
17414,5/1/2016,Season 6,Episode 2,Home,alliser thorne,male,noble,lesser,Attack!,2
17415,5/1/2016,Season 6,Episode 2,Home,alliser thorne,male,noble,lesser,"Fight, you cowards!",2
17416,5/1/2016,Season 6,Episode 2,Home,alliser thorne,male,noble,lesser,You fucking traitor,2
17418,5/1/2016,Season 6,Episode 2,Home,alliser thorne,male,noble,lesser,For thousands of years the Night's Watch has held Castle Black against the Wildlings,2
17919,5/8/2016,Season 6,Episode 3,Oathbreaker,alliser thorne,male,noble,lesser,"I had a choice, Lord Commander Betray you or betray the Night's Watch You brought an army of wildlings into our lands An army of muderers and raiders If I had to do it all over knowing where I'd end up, I pray I'd make the right choice again",2
17921,5/8/2016,Season 6,Episode 3,Oathbreaker,alliser thorne,male,noble,lesser,"I fought, I lost Now I rest But you, Lord Snow, you'll be fighting their battles forever",2
3462,4/1/2012,Season 2,Episode 1,The North Remembers,alton lannister,male,great_house,lannister,"I am, Your Grace.",2
3464,4/1/2012,Season 2,Episode 1,The North Remembers,alton lannister,male,great_house,lannister,"An honorable request, Your Grace.",2
3469,4/1/2012,Season 2,Episode 1,The North Remembers,alton lannister,male,great_house,lannister,"These are... Your Grace, these are...",2
3471,4/1/2012,Season 2,Episode 1,The North Remembers,alton lannister,male,great_house,lannister,"King Joffrey is a Baratheon, Your Grace.",2
3630,4/8/2012,Season 2,Episode 2,The Night Lands,alton lannister,male,great_house,lannister,"I will, Your Grace.",2
3632,4/8/2012,Season 2,Episode 2,The Night Lands,alton lannister,male,great_house,lannister,"I did. They have not broken his spirit, Your Grace.",2
5685,5/13/2012,Season 2,Episode 7,A Man Without Honor,alton lannister,male,great_house,lannister,"She admired your spirit, Your Grace.",2
5687,5/13/2012,Season 2,Episode 7,A Man Without Honor,alton lannister,male,great_house,lannister,"She, uh...",2
5689,5/13/2012,Season 2,Episode 7,A Man Without Honor,alton lannister,male,great_house,lannister,"She tore the paper in half, Your Grace.",2
5801,5/13/2012,Season 2,Episode 7,A Man Without Honor,alton lannister,male,great_house,lannister,Cinda Lannister.,2
5803,5/13/2012,Season 2,Episode 7,A Man Without Honor,alton lannister,male,great_house,lannister,"Well, perhaps she's gotten a little larger than she-",2
5805,5/13/2012,Season 2,Episode 7,A Man Without Honor,alton lannister,male,great_house,lannister,"I squired for you once, you know.",2
5807,5/13/2012,Season 2,Episode 7,A Man Without Honor,alton lannister,male,great_house,lannister,"The tournament, the day of Willem Frey's wedding.",2
5809,5/13/2012,Season 2,Episode 7,A Man Without Honor,alton lannister,male,great_house,lannister,You did. Your squire had gotten so drunk the night before that he threw up.,2
5811,5/13/2012,Season 2,Episode 7,A Man Without Honor,alton lannister,male,great_house,lannister,Bryan.,2
5813,5/13/2012,Season 2,Episode 7,A Man Without Honor,alton lannister,male,great_house,lannister,"That's right. I ran up and volunteered. ""Let me, my lord. Let me."" My father was furious. Afraid I'd embarrass our family in front of the Family.",2
5815,5/13/2012,Season 2,Episode 7,A Man Without Honor,alton lannister,male,great_house,lannister,You really remember?,2
5817,5/13/2012,Season 2,Episode 7,A Man Without Honor,alton lannister,male,great_house,lannister,When I think back to that day-,2
5820,5/13/2012,Season 2,Episode 7,A Man Without Honor,alton lannister,male,great_house,lannister,I- Never mind. It's embarrassing.,2
5822,5/13/2012,Season 2,Episode 7,A Man Without Honor,alton lannister,male,great_house,lannister,"I remember everything about that day, your helmet, your horse, the rake lines in the dirt along the list, where the sun was in the sky when you knocked Balon from his horse, and the dent in your shield when you handed it back to me. I'll remember it all until I die. That was the best day of my life. And I remember being on the field after it was over. All the competitors were done. I was the last one out there. And I couldn't leave. I couldn't bring myself to go and sit with my family at a table so far on the edge of the feast you could barely even see the bride. And I couldn't bear to tell them what it had been like squiring for you, when I knew that they could never have the faintest idea what I was talking about.",2
5824,5/13/2012,Season 2,Episode 7,A Man Without Honor,alton lannister,male,great_house,lannister,"How could you? Sorry, I I didn't mean to doubt you.",2
5826,5/13/2012,Season 2,Episode 7,A Man Without Honor,alton lannister,male,great_house,lannister,Which knight was it?,2
5828,5/13/2012,Season 2,Episode 7,A Man Without Honor,alton lannister,male,great_house,lannister,What was he like?,2
5830,5/13/2012,Season 2,Episode 7,A Man Without Honor,alton lannister,male,great_house,lannister,It's hard to put into words.,2
5832,5/13/2012,Season 2,Episode 7,A Man Without Honor,alton lannister,male,great_house,lannister,Leaving that battlefield was like being dragged off to prison.,2
5833,5/13/2012,Season 2,Episode 7,A Man Without Honor,alton lannister,male,great_house,lannister,Did you squire for him again?,2
5836,5/13/2012,Season 2,Episode 7,A Man Without Honor,alton lannister,male,great_house,lannister,And have you thought about,2
5838,5/13/2012,Season 2,Episode 7,A Man Without Honor,alton lannister,male,great_house,lannister,And?,2
5841,5/13/2012,Season 2,Episode 7,A Man Without Honor,alton lannister,male,great_house,lannister,What is it?,2
5843,5/13/2012,Season 2,Episode 7,A Man Without Honor,alton lannister,male,great_house,lannister,"Well, let me help you.",2
5845,5/13/2012,Season 2,Episode 7,A Man Without Honor,alton lannister,male,great_house,lannister,Tell me.,2
4846,4/29/2012,Season 2,Episode 5,The Ghost of Harrenhal,amory lorch,male,noble,lesser,Our spies report growing discontent among the Northern lords. They want to return home and gather the harvest before the crops turn.,2
5208,5/6/2012,Season 2,Episode 6,The Old Gods and the New,amory lorch,male,noble,lesser,My lord?,2
5210,5/6/2012,Season 2,Episode 6,The Old Gods and the New,amory lorch,male,noble,lesser,"My apologies, my lord. I must have-",2
5214,5/6/2012,Season 2,Episode 6,The Old Gods and the New,amory lorch,male,noble,lesser,"My lord, I-",2
5410,5/6/2012,Season 2,Episode 6,The Old Gods and the New,amory lorch,male,noble,lesser,"Where are you going, girl?",2
5412,5/6/2012,Season 2,Episode 6,The Old Gods and the New,amory lorch,male,noble,lesser,Why?,2
5414,5/6/2012,Season 2,Episode 6,The Old Gods and the New,amory lorch,male,noble,lesser,What might this be?,2
5416,5/6/2012,Season 2,Episode 6,The Old Gods and the New,amory lorch,male,noble,lesser,What for?,2
5418,5/6/2012,Season 2,Episode 6,The Old Gods and the New,amory lorch,male,noble,lesser,Why would he do that? Let's go and ask him.,2
5419,5/6/2012,Season 2,Episode 6,The Old Gods and the New,amory lorch,male,noble,lesser,Move! Get out of the way!,2
7713,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",anguy,male,common,none,"Just a dirty little cub, I think.",1
7718,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",anguy,male,common,none,Generous.,1
7721,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",anguy,male,common,none,The fat to your left and the lad beside him.,1
7729,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",anguy,male,common,none,"Here's the thing, fat",1
7730,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",anguy,male,common,none,"When I'm done talking, that arrow's falling down on your fat head. So I advise you move, because I'm done talking.",1
7731,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",anguy,male,common,none,Half the country's starving and look at this one.,1
7886,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",anguy,male,common,none,"Hey, hey.",1
7888,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",anguy,male,common,none,One waits for him to drink until he passes out.,1
7994,4/14/2013,Season 3,Episode 3,Walk of Punishment,anguy,male,common,none,Better than anyone you've ever met.,1
7996,4/14/2013,Season 3,Episode 3,Walk of Punishment,anguy,male,common,none,Why? So you can kiss him?,1
7999,4/14/2013,Season 3,Episode 3,Walk of Punishment,anguy,male,common,none,"Now, apologies, but you're one ugly fucker and I'd rather not see you no more.",1
